#,Country,Body,Screen,Battery,Accessories,Price,Key
262,Export,Defective,GradeA,86-90%,CableBox,757,Export_Defective_GradeA_86-90%_CableBox
263,Export,GradeB,GradeB,81-85%,None,756,Export_GradeB_GradeB_81-85%_None
264,Export,GradeB,GradeC,86-90%,Cable,756,Export_GradeB_GradeC_86-90%_Cable
265,Export,GradeC,GradeC,86-90%,CableBox,755,Export_GradeC_GradeC_86-90%_CableBox
266,Export,GradeA,GradeC,80%,Cable,754,Export_GradeA_GradeC_80%_Cable
267,Local,GradeA,Defective,81-85%,Cable,753,Local_GradeA_Defective_81-85%_Cable
268,Export,GradeA,Defective,86-90%,Box,751,Export_GradeA_Defective_86-90%_Box
269,Local,GradeB,Defective,91-100%,Box,750,Local_GradeB_Defective_91-100%_Box
270,Local,GradeC,GradeC,86-90%,None,750,Local_GradeC_GradeC_86-90%_None
271,Local,Defective,GradeA,86-90%,None,750,Local_Defective_GradeA_86-90%_None
272,Local,Defective,GradeB,91-100%,Box,750,Local_Defective_GradeB_91-100%_Box
273,Export,GradeB,GradeB,80%,CableBox,749,Export_GradeB_GradeB_80%_CableBox
274,Local,GradeB,GradeC,81-85%,None,747,Local_GradeB_GradeC_81-85%_None
275,Export,GradeC,GradeA,80%,None,747,Export_GradeC_GradeA_80%_None
276,Export,GradeC,GradeB,81-85%,CableBox,747,Export_GradeC_GradeB_81-85%_CableBox
277,Export,GradeA,Defective,86-90%,Cable,746,Export_GradeA_Defective_86-90%_Cable
278,Local,GradeB,Defective,91-100%,Cable,745,Local_GradeB_Defective_91-100%_Cable
279,Local,Defective,GradeA,81-85%,CableBox,745,Local_Defective_GradeA_81-85%_CableBox
280,Local,Defective,GradeB,91-100%,Cable,745,Local_Defective_GradeB_91-100%_Cable
281,Local,GradeC,GradeB,80%,Box,742,Local_GradeC_GradeB_80%_Box
282,Export,Defective,GradeA,86-90%,Box,742,Export_Defective_GradeA_86-90%_Box
283,Export,GradeB,GradeC,86-90%,None,741,Export_GradeB_GradeC_86-90%_None
284,Local,GradeB,GradeC,80%,CableBox,740,Local_GradeB_GradeC_80%_CableBox
285,Export,GradeC,GradeC,86-90%,Box,740,Export_GradeC_GradeC_86-90%_Box
286,Export,GradeA,GradeC,80%,None,739,Export_GradeA_GradeC_80%_None
287,Local,GradeA,Defective,81-85%,None,738,Local_GradeA_Defective_81-85%_None
288,Local,GradeC,GradeC,81-85%,CableBox,738,Local_GradeC_GradeC_81-85%_CableBox
289,Local,GradeC,GradeB,80%,Cable,737,Local_GradeC_GradeB_80%_Cable
290,Export,Defective,GradeA,86-90%,Cable,737,Export_Defective_GradeA_86-90%_Cable
291,Export,GradeC,GradeC,86-90%,Cable,735,Export_GradeC_GradeC_86-90%_Cable
292,Export,Defective,GradeB,91-100%,CableBox,735,Export_Defective_GradeB_91-100%_CableBox
293,Export,GradeB,GradeB,80%,Box,734,Export_GradeB_GradeB_80%_Box
294,Local,GradeA,Defective,80%,CableBox,732,Local_GradeA_Defective_80%_CableBox
295,Export,GradeC,GradeB,81-85%,Box,732,Export_GradeC_GradeB_81-85%_Box
296,Export,GradeA,Defective,86-90%,None,731,Export_GradeA_Defective_86-90%_None
297,Local,GradeB,Defective,91-100%,None,730,Local_GradeB_Defective_91-100%_None
298,Local,Defective,GradeA,81-85%,Box,730,Local_Defective_GradeA_81-85%_Box
299,Local,Defective,GradeB,91-100%,None,730,Local_Defective_GradeB_91-100%_None
300,Export,GradeB,GradeB,80%,Cable,729,Export_GradeB_GradeB_80%_Cable
301,Export,GradeB,GradeC,81-85%,CableBox,729,Export_GradeB_GradeC_81-85%_CableBox
302,Local,GradeB,Defective,86-90%,CableBox,728,Local_GradeB_Defective_86-90%_CableBox
303,Local,Defective,GradeB,86-90%,CableBox,728,Local_Defective_GradeB_86-90%_CableBox
304,Export,GradeC,GradeB,81-85%,Cable,727,Export_GradeC_GradeB_81-85%_Cable
305,Local,GradeB,GradeC,80%,Box,725,Local_GradeB_GradeC_80%_Box
306,Local,Defective,GradeA,81-85%,Cable,725,Local_Defective_GradeA_81-85%_Cable
307,Local,GradeC,GradeC,81-85%,Box,723,Local_GradeC_GradeC_81-85%_Box
308,Local,GradeC,GradeB,80%,None,722,Local_GradeC_GradeB_80%_None
309,Export,Defective,GradeA,86-90%,None,722,Export_Defective_GradeA_86-90%_None
310,Local,GradeB,GradeC,80%,Cable,720,Local_GradeB_GradeC_80%_Cable
311,Export,GradeA,Defective,81-85%,CableBox,720,Export_GradeA_Defective_81-85%_CableBox
312,Export,GradeC,GradeC,86-90%,None,720,Export_GradeC_GradeC_86-90%_None
313,Export,Defective,GradeB,91-100%,Box,720,Export_Defective_GradeB_91-100%_Box
314,Local,GradeC,GradeC,81-85%,Cable,718,Local_GradeC_GradeC_81-85%_Cable
315,Local,GradeA,Defective,80%,Box,717,Local_GradeA_Defective_80%_Box
316,Local,GradeC,Defective,91-100%,CableBox,715,Local_GradeC_Defective_91-100%_CableBox
317,Export,GradeC,GradeC,81-85%,CableBox,715,Export_GradeC_GradeC_81-85%_CableBox
318,Export,Defective,GradeB,91-100%,Cable,715,Export_Defective_GradeB_91-100%_Cable
319,Export,GradeB,GradeB,80%,None,714,Export_GradeB_GradeB_80%_None
320,Export,GradeB,GradeC,81-85%,Box,714,Export_GradeB_GradeC_81-85%_Box
321,Local,GradeB,Defective,86-90%,Box,713,Local_GradeB_Defective_86-90%_Box
322,Local,Defective,GradeB,86-90%,Box,713,Local_Defective_GradeB_86-90%_Box
323,Local,GradeA,Defective,80%,Cable,712,Local_GradeA_Defective_80%_Cable
324,Export,GradeC,GradeB,81-85%,None,712,Export_GradeC_GradeB_81-85%_None
325,Export,Defective,GradeA,81-85%,CableBox,711,Export_Defective_GradeA_81-85%_CableBox
326,Local,Defective,GradeA,81-85%,None,710,Local_Defective_GradeA_81-85%_None
327,Export,GradeB,GradeC,81-85%,Cable,709,Export_GradeB_GradeC_81-85%_Cable
328,Local,GradeB,Defective,86-90%,Cable,708,Local_GradeB_Defective_86-90%_Cable
329,Local,Defective,GradeB,86-90%,Cable,708,Local_Defective_GradeB_86-90%_Cable
330,Export,GradeC,GradeB,80%,CableBox,707,Export_GradeC_GradeB_80%_CableBox
331,Local,GradeB,GradeC,80%,None,705,Local_GradeB_GradeC_80%_None
332,Local,Defective,GradeA,80%,CableBox,705,Local_Defective_GradeA_80%_CableBox
333,Export,GradeA,Defective,81-85%,Box,705,Export_GradeA_Defective_81-85%_Box
334,Export,GradeB,Defective,91-100%,CableBox,705,Export_GradeB_Defective_91-100%_CableBox
335,Local,GradeC,GradeC,81-85%,None,703,Local_GradeC_GradeC_81-85%_None
336,Local,GradeC,Defective,91-100%,Box,700,Local_GradeC_Defective_91-100%_Box
337,Export,GradeA,Defective,81-85%,Cable,700,Export_GradeA_Defective_81-85%_Cable
338,Export,GradeC,GradeC,81-85%,Box,700,Export_GradeC_GradeC_81-85%_Box
339,Export,Defective,GradeB,91-100%,None,700,Export_Defective_GradeB_91-100%_None
340,Export,Defective,GradeB,86-90%,CableBox,700,Export_Defective_GradeB_86-90%_CableBox
341,Local,GradeC,GradeC,80%,CableBox,698,Local_GradeC_GradeC_80%_CableBox
342,Local,GradeA,Defective,80%,None,697,Local_GradeA_Defective_80%_None
343,Export,Defective,GradeA,81-85%,Box,696,Export_Defective_GradeA_81-85%_Box
344,Local,GradeC,Defective,91-100%,Cable,695,Local_GradeC_Defective_91-100%_Cable
345,Local,Defective,GradeC,91-100%,CableBox,695,Local_Defective_GradeC_91-100%_CableBox
346,Export,GradeC,GradeC,81-85%,Cable,695,Export_GradeC_GradeC_81-85%_Cable
347,Export,GradeB,GradeC,81-85%,None,694,Export_GradeB_GradeC_81-85%_None
348,Local,GradeB,Defective,86-90%,None,693,Local_GradeB_Defective_86-90%_None
349,Local,Defective,GradeB,86-90%,None,693,Local_Defective_GradeB_86-90%_None
350,Export,GradeC,GradeB,80%,Box,692,Export_GradeC_GradeB_80%_Box
351,Export,Defective,GradeA,81-85%,Cable,691,Export_Defective_GradeA_81-85%_Cable
352,Local,Defective,GradeA,80%,Box,690,Local_Defective_GradeA_80%_Box
353,Export,GradeB,GradeC,80%,CableBox,690,Export_GradeB_GradeC_80%_CableBox
354,Export,GradeB,Defective,91-100%,Box,690,Export_GradeB_Defective_91-100%_Box
355,Export,GradeC,GradeB,80%,Cable,687,Export_GradeC_GradeB_80%_Cable
356,Local,Defective,GradeA,80%,Cable,685,Local_Defective_GradeA_80%_Cable
357,Export,GradeA,Defective,81-85%,None,685,Export_GradeA_Defective_81-85%_None
358,Export,GradeB,Defective,91-100%,Cable,685,Export_GradeB_Defective_91-100%_Cable
359,Export,Defective,GradeB,86-90%,Box,685,Export_Defective_GradeB_86-90%_Box
360,Local,GradeB,Defective,81-85%,CableBox,684,Local_GradeB_Defective_81-85%_CableBox
361,Local,Defective,GradeB,81-85%,CableBox,684,Local_Defective_GradeB_81-85%_CableBox
362,Local,GradeC,GradeC,80%,Box,683,Local_GradeC_GradeC_80%_Box
363,Local,GradeC,Defective,86-90%,CableBox,681,Local_GradeC_Defective_86-90%_CableBox
364,Export,GradeA,Defective,80%,CableBox,681,Export_GradeA_Defective_80%_CableBox
365,Local,GradeC,Defective,91-100%,None,680,Local_GradeC_Defective_91-100%_None
366,Local,Defective,GradeC,91-100%,Box,680,Local_Defective_GradeC_91-100%_Box
367,Export,GradeC,GradeC,81-85%,None,680,Export_GradeC_GradeC_81-85%_None
368,Export,Defective,GradeB,86-90%,Cable,680,Export_Defective_GradeB_86-90%_Cable
369,Local,GradeC,GradeC,80%,Cable,678,Local_GradeC_GradeC_80%_Cable
370,Export,Defective,GradeA,81-85%,None,676,Export_Defective_GradeA_81-85%_None
371,Local,Defective,GradeC,91-100%,Cable,675,Local_Defective_GradeC_91-100%_Cable
372,Export,GradeB,GradeC,80%,Box,675,Export_GradeB_GradeC_80%_Box
373,Export,GradeC,GradeC,80%,CableBox,675,Export_GradeC_GradeC_80%_CableBox
374,Export,Defective,GradeA,80%,CableBox,673,Export_Defective_GradeA_80%_CableBox
375,Export,GradeC,GradeB,80%,None,672,Export_GradeC_GradeB_80%_None
376,Export,GradeB,Defective,86-90%,CableBox,671,Export_GradeB_Defective_86-90%_CableBox
377,Local,Defective,GradeA,80%,None,670,Local_Defective_GradeA_80%_None
378,Export,GradeB,GradeC,80%,Cable,670,Export_GradeB_GradeC_80%_Cable
379,Export,GradeB,Defective,91-100%,None,670,Export_GradeB_Defective_91-100%_None
380,Local,GradeB,Defective,81-85%,Box,669,Local_GradeB_Defective_81-85%_Box
381,Local,Defective,GradeB,81-85%,Box,669,Local_Defective_GradeB_81-85%_Box
382,Local,GradeC,Defective,86-90%,Box,666,Local_GradeC_Defective_86-90%_Box
383,Export,GradeA,Defective,80%,Box,666,Export_GradeA_Defective_80%_Box
384,Export,Defective,GradeB,86-90%,None,665,Export_Defective_GradeB_86-90%_None
385,Local,GradeB,Defective,81-85%,Cable,664,Local_GradeB_Defective_81-85%_Cable
386,Local,Defective,GradeB,81-85%,Cable,664,Local_Defective_GradeB_81-85%_Cable
387,Local,GradeC,GradeC,80%,None,663,Local_GradeC_GradeC_80%_None
388,Local,Defective,GradeC,86-90%,CableBox,662,Local_Defective_GradeC_86-90%_CableBox
389,Local,GradeC,Defective,86-90%,Cable,661,Local_GradeC_Defective_86-90%_Cable
390,Export,GradeA,Defective,80%,Cable,661,Export_GradeA_Defective_80%_Cable
391,Local,Defective,GradeC,91-100%,None,660,Local_Defective_GradeC_91-100%_None
392,Export,GradeC,GradeC,80%,Box,660,Export_GradeC_GradeC_80%_Box
393,Export,Defective,GradeA,80%,Box,658,Export_Defective_GradeA_80%_Box
394,Export,Defective,GradeB,81-85%,CableBox,658,Export_Defective_GradeB_81-85%_CableBox
395,Export,GradeB,Defective,86-90%,Box,656,Export_GradeB_Defective_86-90%_Box
396,Export,GradeB,GradeC,80%,None,655,Export_GradeB_GradeC_80%_None
397,Export,GradeC,GradeC,80%,Cable,655,Export_GradeC_GradeC_80%_Cable
398,Export,GradeC,Defective,91-100%,CableBox,655,Export_GradeC_Defective_91-100%_CableBox
399,Export,Defective,GradeA,80%,Cable,653,Export_Defective_GradeA_80%_Cable
400,Export,GradeB,Defective,86-90%,Cable,651,Export_GradeB_Defective_86-90%_Cable
401,Local,GradeB,Defective,81-85%,None,649,Local_GradeB_Defective_81-85%_None
402,Local,Defective,GradeB,81-85%,None,649,Local_Defective_GradeB_81-85%_None
403,Local,GradeB,Defective,80%,CableBox,648,Local_GradeB_Defective_80%_CableBox
404,Local,Defective,GradeB,80%,CableBox,648,Local_Defective_GradeB_80%_CableBox
405,Local,Defective,GradeC,86-90%,Box,647,Local_Defective_GradeC_86-90%_Box
406,Local,GradeC,Defective,86-90%,None,646,Local_GradeC_Defective_86-90%_None
407,Export,GradeA,Defective,80%,None,646,Export_GradeA_Defective_80%_None
408,Export,Defective,GradeB,81-85%,Box,643,Export_Defective_GradeB_81-85%_Box
409,Local,Defective,GradeC,86-90%,Cable,642,Local_Defective_GradeC_86-90%_Cable
410,Local,GradeC,Defective,81-85%,CableBox,640,Local_GradeC_Defective_81-85%_CableBox
411,Export,GradeC,GradeC,80%,None,640,Export_GradeC_GradeC_80%_None
412,Export,GradeC,Defective,91-100%,Box,640,Export_GradeC_Defective_91-100%_Box
413,Export,Defective,GradeA,80%,None,638,Export_Defective_GradeA_80%_None
414,Export,Defective,GradeB,81-85%,Cable,638,Export_Defective_GradeB_81-85%_Cable
415,Export,GradeB,Defective,86-90%,None,636,Export_GradeB_Defective_86-90%_None
416,Export,GradeC,Defective,91-100%,Cable,635,Export_GradeC_Defective_91-100%_Cable
417,Export,Defective,GradeC,91-100%,CableBox,635,Export_Defective_GradeC_91-100%_CableBox
418,Local,GradeB,Defective,80%,Box,633,Local_GradeB_Defective_80%_Box
419,Local,Defective,GradeB,80%,Box,633,Local_Defective_GradeB_80%_Box
420,Export,GradeB,Defective,81-85%,CableBox,631,Export_GradeB_Defective_81-85%_CableBox
421,Local,GradeB,Defective,80%,Cable,628,Local_GradeB_Defective_80%_Cable
422,Local,Defective,GradeB,80%,Cable,628,Local_Defective_GradeB_80%_Cable
423,Local,Defective,GradeC,86-90%,None,627,Local_Defective_GradeC_86-90%_None
424,Local,GradeC,Defective,81-85%,Box,625,Local_GradeC_Defective_81-85%_Box
425,Export,GradeC,Defective,86-90%,CableBox,624,Export_GradeC_Defective_86-90%_CableBox
426,Export,Defective,GradeB,81-85%,None,623,Export_Defective_GradeB_81-85%_None
427,Export,Defective,GradeB,80%,CableBox,623,Export_Defective_GradeB_80%_CableBox
428,Local,Defective,GradeC,81-85%,CableBox,622,Local_Defective_GradeC_81-85%_CableBox
429,Local,GradeC,Defective,81-85%,Cable,620,Local_GradeC_Defective_81-85%_Cable
430,Export,GradeC,Defective,91-100%,None,620,Export_GradeC_Defective_91-100%_None
431,Export,Defective,GradeC,91-100%,Box,620,Export_Defective_GradeC_91-100%_Box
432,Export,GradeB,Defective,81-85%,Box,616,Export_GradeB_Defective_81-85%_Box
433,Export,Defective,GradeC,91-100%,Cable,615,Export_Defective_GradeC_91-100%_Cable
434,Local,GradeB,Defective,80%,None,613,Local_GradeB_Defective_80%_None
435,Local,Defective,GradeB,80%,None,613,Local_Defective_GradeB_80%_None
436,Export,GradeB,Defective,81-85%,Cable,611,Export_GradeB_Defective_81-85%_Cable
437,Export,GradeC,Defective,86-90%,Box,609,Export_GradeC_Defective_86-90%_Box
438,Export,Defective,GradeB,80%,Box,608,Export_Defective_GradeB_80%_Box
439,Local,Defective,GradeC,81-85%,Box,607,Local_Defective_GradeC_81-85%_Box
440,Local,GradeC,Defective,80%,CableBox,606,Local_GradeC_Defective_80%_CableBox
441,Local,GradeC,Defective,81-85%,None,605,Local_GradeC_Defective_81-85%_None
442,Export,Defective,GradeC,86-90%,CableBox,605,Export_Defective_GradeC_86-90%_CableBox
443,Export,GradeC,Defective,86-90%,Cable,604,Export_GradeC_Defective_86-90%_Cable
444,Export,Defective,GradeB,80%,Cable,603,Export_Defective_GradeB_80%_Cable
445,Local,Defective,GradeC,81-85%,Cable,602,Local_Defective_GradeC_81-85%_Cable
446,Export,Defective,GradeC,91-100%,None,600,Export_Defective_GradeC_91-100%_None
447,Export,GradeB,Defective,80%,CableBox,597,Export_GradeB_Defective_80%_CableBox
448,Export,GradeB,Defective,81-85%,None,596,Export_GradeB_Defective_81-85%_None
449,Local,GradeC,Defective,80%,Box,591,Local_GradeC_Defective_80%_Box
450,Export,Defective,GradeC,86-90%,Box,590,Export_Defective_GradeC_86-90%_Box
451,Local,Defective,GradeC,80%,CableBox,589,Local_Defective_GradeC_80%_CableBox
452,Export,GradeC,Defective,86-90%,None,589,Export_GradeC_Defective_86-90%_None
453,Export,Defective,GradeB,80%,None,588,Export_Defective_GradeB_80%_None
454,Local,Defective,GradeC,81-85%,None,587,Local_Defective_GradeC_81-85%_None
455,Local,GradeC,Defective,80%,Cable,586,Local_GradeC_Defective_80%_Cable
456,Export,GradeC,Defective,81-85%,CableBox,586,Export_GradeC_Defective_81-85%_CableBox
457,Local,Defective,Defective,91-100%,CableBox,585,Local_Defective_Defective_91-100%_CableBox
458,Export,Defective,GradeC,86-90%,Cable,585,Export_Defective_GradeC_86-90%_Cable
459,Export,GradeB,Defective,80%,Box,582,Export_GradeB_Defective_80%_Box
460,Export,GradeB,Defective,80%,Cable,577,Export_GradeB_Defective_80%_Cable
461,Local,Defective,GradeC,80%,Box,574,Local_Defective_GradeC_80%_Box
462,Local,GradeC,Defective,80%,None,571,Local_GradeC_Defective_80%_None
463,Export,GradeC,Defective,81-85%,Box,571,Export_GradeC_Defective_81-85%_Box
464,Local,Defective,Defective,91-100%,Box,570,Local_Defective_Defective_91-100%_Box
465,Export,Defective,GradeC,86-90%,None,570,Export_Defective_GradeC_86-90%_None
466,Local,Defective,GradeC,80%,Cable,569,Local_Defective_GradeC_80%_Cable
467,Export,Defective,GradeC,81-85%,CableBox,569,Export_Defective_GradeC_81-85%_CableBox
468,Export,GradeC,Defective,81-85%,Cable,566,Export_GradeC_Defective_81-85%_Cable
469,Local,Defective,Defective,91-100%,Cable,565,Local_Defective_Defective_91-100%_Cable
470,Export,GradeB,Defective,80%,None,562,Export_GradeB_Defective_80%_None
471,Local,Defective,Defective,86-90%,CableBox,557,Local_Defective_Defective_86-90%_CableBox
472,Export,GradeC,Defective,80%,CableBox,555,Export_GradeC_Defective_80%_CableBox
473,Export,Defective,Defective,91-100%,CableBox,555,Export_Defective_Defective_91-100%_CableBox
474,Local,Defective,GradeC,80%,None,554,Local_Defective_GradeC_80%_None
475,Export,Defective,GradeC,81-85%,Box,554,Export_Defective_GradeC_81-85%_Box
476,Export,GradeC,Defective,81-85%,None,551,Export_GradeC_Defective_81-85%_None
477,Local,Defective,Defective,91-100%,None,550,Local_Defective_Defective_91-100%_None
478,Export,Defective,GradeC,81-85%,Cable,549,Export_Defective_GradeC_81-85%_Cable
479,Local,Defective,Defective,86-90%,Box,542,Local_Defective_Defective_86-90%_Box
480,Export,GradeC,Defective,80%,Box,540,Export_GradeC_Defective_80%_Box
481,Export,Defective,Defective,91-100%,Box,540,Export_Defective_Defective_91-100%_Box
482,Export,Defective,GradeC,80%,CableBox,539,Export_Defective_GradeC_80%_CableBox
483,Local,Defective,Defective,86-90%,Cable,537,Local_Defective_Defective_86-90%_Cable
484,Export,GradeC,Defective,80%,Cable,535,Export_GradeC_Defective_80%_Cable
485,Export,Defective,Defective,91-100%,Cable,535,Export_Defective_Defective_91-100%_Cable
486,Export,Defective,GradeC,81-85%,None,534,Export_Defective_GradeC_81-85%_None
487,Export,Defective,Defective,86-90%,CableBox,529,Export_Defective_Defective_86-90%_CableBox
488,Local,Defective,Defective,81-85%,CableBox,524,Local_Defective_Defective_81-85%_CableBox
489,Export,Defective,GradeC,80%,Box,524,Export_Defective_GradeC_80%_Box
490,Local,Defective,Defective,86-90%,None,522,Local_Defective_Defective_86-90%_None
491,Export,GradeC,Defective,80%,None,520,Export_GradeC_Defective_80%_None
492,Export,Defective,Defective,91-100%,None,520,Export_Defective_Defective_91-100%_None
493,Export,Defective,GradeC,80%,Cable,519,Export_Defective_GradeC_80%_Cable
494,Export,Defective,Defective,86-90%,Box,514,Export_Defective_Defective_86-90%_Box
495,Local,Defective,Defective,81-85%,Box,509,Local_Defective_Defective_81-85%_Box
496,Export,Defective,Defective,86-90%,Cable,509,Export_Defective_Defective_86-90%_Cable
497,Local,Defective,Defective,81-85%,Cable,504,Local_Defective_Defective_81-85%_Cable
498,Export,Defective,GradeC,80%,None,504,Export_Defective_GradeC_80%_None
499,Local,Defective,Defective,80%,CableBox,497,Local_Defective_Defective_80%_CableBox
500,Export,Defective,Defective,81-85%,CableBox,497,Export_Defective_Defective_81-85%_CableBox
501,Export,Defective,Defective,86-90%,None,494,Export_Defective_Defective_86-90%_None
502,Local,Defective,Defective,81-85%,None,489,Local_Defective_Defective_81-85%_None
503,Local,Defective,Defective,80%,Box,482,Local_Defective_Defective_80%_Box
504,Export,Defective,Defective,81-85%,Box,482,Export_Defective_Defective_81-85%_Box
505,Local,Defective,Defective,80%,Cable,477,Local_Defective_Defective_80%_Cable
506,Export,Defective,Defective,81-85%,Cable,477,Export_Defective_Defective_81-85%_Cable
507,Local,Defective,Defective,80%,None,462,Local_Defective_Defective_80%_None
508,Export,Defective,Defective,81-85%,None,462,Export_Defective_Defective_81-85%_None
509,Export,Defective,Defective,80%,CableBox,435,Export_Defective_Defective_80%_CableBox
510,Export,Defective,Defective,80%,Box,420,Export_Defective_Defective_80%_Box
511,Export,Defective,Defective,80%,Cable,415,Export_Defective_Defective_80%_Cable
512,Export,Defective,Defective,80%,None,400,Export_Defective_Defective_80%_None
